ꀀ | Chinese: 1. pron. 我的（引述式） | 2. v. (1) 有；存在（多指房屋或容器中有某物） (2) 居住 (3) 睡觉
ꀀ ꀕ | Chinese: 1. pron. 我自己（引述式）
ꉌ ꌒ ꊎ | Chinese: 1. v. 鼓励；安慰
ꉌ ꌤ | Chinese: 1. adj. 寂寞 | 2. v. 惦念
ꉌ ꎭ | Chinese: 1. adj. 苦恼；悲伤；难过
ꉌ ꐒ | Chinese: 1. v. 发愁；忧愁
ꉌ ꐡ | Chinese: 1. v. （令人）感动
ꉌ ꐪ ꁙ | Chinese: 1. n. 松鼠
ꉌ ꐬ | Chinese: 1. n. 老鼠洞
ꉌ ꒊ | Chinese: 1. v. 信任；相信
ꉍ ꈄ | Chinese: 1. n. 网兜
ꉎ | Chinese: 1. n. (1) 上方；上 (2) 上面 | 2. v. 挖苦；揭短
ꉎ ꏯ | Chinese: 1. n. (1) 上级 (2) 上面
ꉏ | Chinese: 1. att. (1) 一下 (2) （表请求的语气）
ꉏ ꍅ | Chinese: 1. adj. 麻嘴（多指花椒）
ꉏ ꎧ | Chinese: 1. n. 暴雨
ꉏ ꎸ ꃅ | Chinese: 1. v. 打哈欠
ꉏ ꑳ | Chinese: 1. adj. 麻嘴（指洋芋）
ꉏ ꑴ | Chinese: 1. int. 喂（发语词，用来引起别人的注意）
ꉐ | Chinese: 1. att. 嗯（答应的声音） | 2. num. 百（数） | 3. n. (1) 雨（文学语） (2) 野鸡；锦鸡；雉鸡（一种较小的野鸡）
ꉐ ꀖ | Chinese: 1. n. (1) 蔬菜（泛指除萝卜的带叶的菜） (2) 白菜
ꉐ ꀖ ꃱ ꀖ | Chinese: 1. n. 蔬菜
ꉐ ꀸ | Chinese: 1. adj. 累极了（指人走或跑长路所致） | 2. v. 吐舌头（多指动物因热或劳累过度所致）
ꉐ ꁁ ꀕ | Chinese: 1. adj. （活儿）轻松；容易
ꉐ ꂷ | Chinese: 1. n. 雨点
ꉐ ꃪ | Chinese: 1. num. 百万
ꉐ ꃺ | Chinese: 1. adj. 麻嘴（多指洋芋或手摸烟叶后碰到嘴上的感觉等）
ꉐ ꄂ | Chinese: 1. adj. 大舌头
ꉐ ꅋ | Chinese: 1. n. 毒草；毒药（泛指）
ꉐ ꆂ | Chinese: 1. n. 舌头
ꉐ ꇓ ꁠ | Chinese: 1. v. 牵连；延烧；殃及（其他）
ꉐ ꇙ ꏻ | Chinese: 1. adv. 凑巧；巧合
ꉐ ꌦ | Chinese: 1. n. 阵雨
ꉐ ꌦ ꉏ ꄧ | Chinese: 1. n. 零星雨点
ꉐ ꍑ ꌺ | Chinese: 1. n. 毛毛雨
ꉒ | Chinese: 1. n. 雾
ꉒ ꆉ ꉐ ꆈ | Chinese: 1. n. 浓云暴雨
ꉔ | Chinese: 1. v. (1) 搅拌（炒面等）；和 (2) 杂 (3) 混合 (4) 灌 (5) （大声）吼 (6) 哄（小孩入睡） | 2. aux. 好（一般只作补语用，不单独作谓语） | 3. adj. (1) 擅长；能干 (2) 路滑
ꉕ ꃴ | Chinese: 1. n. 山下部；二半山
ꉖ | Chinese: 1. v. (1) 洼陷 (2) 粘；敷；擦（药） | 2. cl. 夜
ꉗ ꋚ | Chinese: 1. n. 高山粮
ꉗ ꌾ | Chinese: 1. adj. 稀少（指庄稼长得不好）
ꉘ | Chinese: 1. v. (1) 养；喂养；饲养；培养；培植；培育；栽培 (2) 蓄 (3) 蒸 (4) （屏息）躲藏 (5) 吆喝 | 2. n. (1) 蒸汽 (2) 糊糊；粥；稀饭 (3) 高山
ꉘ ꁇ ꁉ | Chinese: 1. adj. 热气腾腾；欣欣向荣
ꉘ ꁌ | Chinese: 1. n. 山梁
ꉘ ꁧ ꅪ ꀿ | Chinese: 1. v. 发明创造
ꉘ ꁮ | Chinese: 1. n. 太阳
ꉘ ꁮ ꈨ ꑌ | Chinese: 1. n. 老天爷（喊冤叫屈）“
ꉘ ꃀ | Chinese: 1. n. 开头；开初
ꉘ ꃅ | Chinese: 1. n. 高寒山区；高山
ꉘ ꄑ | Chinese: 1. v. 冒气；上气（多指锅内煮食物）
ꉘ ꆹ ꉘ ꋋ ꈩ | Chinese: 1. adj. 狼吞虎咽的
ꉘ ꇉ | Chinese: 1. v. (1) 指望；预料（用于否定） (2) 靠
ꉘ ꇕ | Chinese: 1. adj. 摇晃状
ꉘ ꈠ | Chinese: 1. adj. 贪婪（心急）
ꉘ ꊮ ꃱ ꊮ | Chinese: 1. n. 蔬菜（总称）
ꉘ ꋩ | Chinese: 1. adj. 慢；疲（方）（指煮饭或地里庄稼老不熟）
ꉘ ꏡ | Chinese: 1. n. 山脉
ꉘ ꐈ ꅪ ꋑ | Chinese: 1. adj. 狡猾；老奸巨猾；投机取巧
ꉘ ꑱ | Chinese: 1. adj. 高山反应
ꉘ ꒉ | Chinese: 1. n. 高山之水
ꉙ | Chinese: 1. n. (1) 话 (2) 绳子 (3) 热带 | 2. v. (1) 唱（等） (2) 教；训练（猎犬） (3) 染（布等） (4) 祭 (5) 陷
ꉙ ꂘ | Chinese: 1. v. 教育
ꉙ ꃴ | Chinese: 1. n. 二半山；浅丘陵；山下部
ꉙ ꆹ ꂸ ꆹ | Chinese: 1. adv. （没头没脑地）莽撞蛮干
ꉙ ꈈ | Chinese: 1. adj. 口音不同；口音变（了）
ꉙ ꉎ | Chinese: 1. v. 盛气凌人；欺辱
ꉙ ꉗ | Chinese: 1. v. 轻视；歧视
ꉙ ꊰ | Chinese: 1. n. 细麻绳
ꉙ ꌧ ꉐ ꐳ | Chinese: 1. adj. 机智灵活；反应快
ꉙ ꏂ | Chinese: 1. n. 柳树
ꉙ ꏿ | Chinese: 1. v. 捂熟（水果等）
ꉙ ꐛ | Chinese: 1. v. 避寒 | 2. adj. 熟透（多指水果）
ꉚ | Chinese: 1. aux. 一下（表尝试） | 2. v. 看
ꉛ | Chinese: 1. n. 鱼 | 2. v. (1) 借 (2) 开（口）；张（嘴）
ꉛ ꀱ | Chinese: 1. n. 鱼鳔
ꉛ ꁠ | Chinese: 1. n. （简易）渔簖（较长的一种，当地人叫“笕笆”）
ꉛ ꂫ | Chinese: 1. n. 拦网（渔具）
ꉛ ꆈ ꁯ ꎓ | Chinese: 1. n. 乌龟
ꉛ ꈹ ꀨ ꆺ | Chinese: 1. n. 渔篓
ꉛ ꈹ ꑘ | Chinese: 1. n. 渔业
ꉛ ꊏ | Chinese: 1. n. 鱼刺
ꉛ ꏶ ꀮ | Chinese: 1. n. 吸鱼桶（渔具）
ꉛ ꐬ | Chinese: 1. n. 鱼窝
ꉛ ꐱ | Chinese: 1. n. 渔网（撒网）
ꉜ | Chinese: 1. v. 看 | 2. aux. 尝试
ꉜ ꀋ ꑍ | Chinese: 1. adj. 没有精神；无精打采
ꉜ ꄟ | Chinese: 1. n. 观点；看法
ꉜ ꄸ | Chinese: 1. v. (1) 欺负；看不起 (2) 轻视；看不起
ꉜ ꆐ | Chinese: 1. n. 中暑（高山到平地）
ꉜ ꉚ | Chinese: 1. v. 参考
ꉜ ꌒ | Chinese: 1. adj. 好看
ꉜ ꎎ | Chinese: 1. v. 偏见
ꉜ ꏂ | Chinese: 1. n. 鱼（文学语）
ꉜ ꐊ | Chinese: 1. adj. 中看；入眼（看得上眼）
ꉞ | Chinese: 1. v. (1) 摇；有点活动 (2) 松动 | 2. n. 扳
ꉟ ꆽ ꉝ ꆽ | Chinese: 1. adv. 松动；摇摇晃晃
ꉟ ꊪ ꆅ | Chinese: 1. n. 艾滋病
ꉠ | Chinese: 1. pron. 我（的） | 2. v. (1) 扳 (2) 冲
ꉠ ꀕ | Chinese: 1. pron. 我自己
ꉠ ꃤ | Chinese: 1. pron. 我的（东西等）
ꉡ | Chinese: 1. pron. 我
ꉢ | Chinese: 1. pron. 我
ꉣ ꑊ | Chinese: 1. pron. 我俩
ꉤ | Chinese: 1. v. 扳
ꉤ ꏣ | Chinese: 1. n. 扳机（枪的击发器）
ꉥ | Chinese: 1. conj. 因为；由于
ꉥ ꑣ | Chinese: 1. adj. (1) （身材）小而漂亮 (2) （器物）小巧精致
ꉥ ꑣ ꌺ | Chinese: 1. adj. 乖乖的
ꉦ | Chinese: 1. n. 胸
ꉦ ꃀ | Chinese: 1. n. 胸膛
ꉧ | Chinese: 1. v. (1) 扳（弯） (2) 弯曲
ꉨ ꏵ | Chinese: 1. adj. 脆香；酥香（多指油炸的肉食、花生等）
ꉩ | Chinese: 1. v. (1) 摸 (2) 哭 | 2. adj. 阴雨（天）
ꉩ ꇗ | Chinese: 1. n. 猫头鹰
ꉪ | Chinese: 1. v. 想；思考 | 2. pron. 我们
ꉪ ꀽ | Chinese: 1. v. 想开；想通
ꉪ ꁏ | Chinese: 1. v. 转变；改变（指思想）
ꉪ ꁨ | Chinese: 1. adj. 谨慎（对外界事情或自己的言行十分注意）
ꉪ ꄅ | Chinese: 1. v. 猜疑；怀疑
ꉪ ꄎ ꃅ | Chinese: 1. v. 臆断；臆断；主观地
ꉪ ꄟ | Chinese: 1. n. 想法
ꉪ ꇐ | Chinese: 1. n. 思想
ꉪ ꉨ | Chinese: 1. pron. 我们自己
ꉪ ꊇ | Chinese: 1. pron. 我们
ꉪ ꏡ | Chinese: 1. v. 思考；考虑
ꉪ ꏣ | Chinese: 1. n. 念头
ꉪ ꐛ | Chinese: 1. v. (1) 回忆起来；想到（了） (2) 想通（了）
ꉪ ꐨ | Chinese: 1. n. 愿望
ꉪ ꐪ | Chinese: 1. n. 想法；主意
ꉪ ꑌ ꍣ ꅼ | Chinese: 1. adj. 考虑周全；思维发达
ꉬ | Chinese: 1. v. (1) 是 (2) 屈服 (3) 对；正确 | 2. num. 五
ꉬ ꇮ | Chinese: 1. adv. 全部；都
ꉬ ꇮ ꇱ | Chinese: 1. adv. 全部；都
ꉬ ꉎ | Chinese: 1. n. 天上（神界）（文学语）
ꉭ | Chinese: 1. v. (1) 松动；活动（多指树桩） (2) （向前）倾
ꉮ | Chinese: 1. v. 害
ꉮ ꐪ | Chinese: 1. n. 祸害
ꉱ | Chinese: 1. v. 盖 | 2. n. 底
ꉱ ꅐ | Chinese: 1. v. 底脱落了；露底（了）
ꉱ ꇤ | Chinese: 1. aux. 彻底；全部
ꉱ ꇭ | Chinese: 1. n. 隔板；隔笆（指火塘旁主客位间隔着的板或篾笆）
ꉱ ꈐ | Chinese: 1. n. 主卧室；内室
ꉱ ꋃ | Chinese: 1. adj. 齐底；下底（多指器具里的粮食快没了）
ꉱ ꑌ | Chinese: 1. v. 有意；存心
ꉲ ꌩ | Chinese: 1. n. （树枝）栅栏；篱笆
ꉳ | Chinese: 1. v. 劝
ꉴ ꀾ | Chinese: 1. n. 琥珀
ꉴ ꒌ | Chinese: 1. n. 痰
ꉵ | Chinese: 1. adj. （大雪）纷飞；封山 | 2. v. 愈合
ꉶ ꄻ | Chinese: 1. v. 化装
ꉷ | Chinese: 1. n. 汉（族） | 2. v. (1) 摩擦 (2) 倒
ꉸ ꇔ | Chinese: 1. n. 杏子
ꉸ ꉷ | Chinese: 1. n. 口弦；口琴
ꉹ | Chinese: 1. n. 弓
ꉹ ꁌ | Chinese: 1. n. 群众；大众
ꉹ ꌧ ꂓ | Chinese: 1. n. 核桃
ꉺ ꅐ | Chinese: 1. v. （牛、羊等）越圈
ꉺ ꇤ | Chinese: 1. n. 胡同；小巷
ꉺ ꈷ | Chinese: 1. v. 栏（园圃）
ꉺ ꍻ | Chinese: 1. v. 拱圈（指牲畜）
ꉺ ꐡ | Chinese: 1. adj. （人因老而）变样
ꉻ | Chinese: 1. v. (1) （将混在一起的羊）分开 (2) 堆放 (3) 损伤 | 2. n. (1) 圈；牲畜棚；养家畜的栅栏 (2) 花圃 (3) 角 | 3. cl. (1) 堆 (2) 跤 | 4. adj. （病）严重
ꉺ | Chinese: 1. cl. (1) 堆 (2) 跤
ꉻ ꀀ ꃀ | Chinese: 1. n. 岳母
ꉻ ꈫ | Chinese: 1. n. 菜地栏；园圃；菜园
ꉻ ꈫ ꉺ ꇤ | Chinese: 1. n. 村庄内小巷；里弄等有空余地
ꉻ ꏑ | Chinese: 1. v. 结社
ꉻ ꏮ | Chinese: 1. n. 吊丧的比赛
ꉼ | Chinese: 1. v. (1) 回荡 (2) 编织 (3) 扣（扣子） (4) 砌 (5) 传播 | 2. adj. 麻痛（脚底）
ꉼ ꂷ | Chinese: 1. n. 扣子
ꉼ ꃀ | Chinese: 1. n. 骆驼
ꉼ ꄏ | Chinese: 1. n. 会东（地名）
ꉼ ꏣ | Chinese: 1. n. 纽扣（总称）
ꉼ ꑴ | Chinese: 1. n. 栅栏；篱笆
ꉽ ꐯ | Chinese: 1. n. 锅；铁锅
ꉾ | Chinese: 1. adj. 好（多指能力强思想好等）
ꉾ ꃪ | Chinese: 1. adj. 好；美好
ꊀ | Chinese: 1. n. 鞍子
ꊁ | Chinese: 1. adv. (1) 后；后面（方位） (2) 以后（时间）；后来
ꊁ ꁏ ꈿ ꆹ ꍠ | Chinese: 1. v. 翻悔
ꊁ ꁮ ꆪ | Chinese: 1. n. 下个月
ꊁ ꄹ ꉖ | Chinese: 1. n. 第二夜；次夜
ꊁ ꊰ | Chinese: 1. v. 落后；掉队
ꊂ | Chinese: 1. adv. (1) 后；后面（方位） (2) 以后（时间） | 2. n. 茬口
ꊂ ꀠ | Chinese: 1. v. （背后）议论；诽谤
ꊂ ꁠ | Chinese: 1. v. 跟随
ꊂ ꅪ | Chinese: 1. n. 轮休地
ꊂ ꆈ | Chinese: 1. n. （人的）背后
ꊂ ꇽ | Chinese: 1. v. 绝交；断绝关系
ꊂ ꈓ ꄀ | Chinese: 1. v. 安慰
ꊂ ꈓ ꊐ | Chinese: 1. v. 鼓励
ꊂ ꈘ | Chinese: 1. v. (1) 自卑；自怨自艾 (2) 悲观
ꊂ ꈢ ꆺ ꇬ | Chinese: 1. conj. 其次
ꊂ ꈹ | Chinese: 1. v. 跟随
ꊂ ꋊ | Chinese: 1. n. 后代；后裔
ꊂ ꌒ | Chinese: 1. n. 神灵
ꊂ ꎭ | Chinese: 1. v. 请（帮忙）
ꊂ ꏭ | Chinese: 1. adv. (1) 以后；将来 (2) 后面
ꊂ ꐎ | Chinese: 1. n. 空地（荞麦收完后，还未下种的地）
ꊅ | Chinese: 1. v. 扳
ꊇ | Chinese: 1. gr. 们（表复数）
ꊇ ꀮ | Chinese: 1. adj. 发体；发福（套语）；胖
ꊇ ꄲ | Chinese: 1. n. 葱
ꊇ ꅉ | Chinese: 1. n. 本质；本性
ꊇ ꏸ | Chinese: 1. n. 熊胆
ꊈ | Chinese: 1. v. (1) 切（多指将肉切成块状） (2) 挪动；移动 | 2. cl. (1) 砣（大块肉） (2) 群 | 3. n. (1) 杆 (2) 质量 (3) 熊
ꊇ | Chinese: 1. cl. (1) 砣（大块肉） (2) 群
ꊈ ꄲ | Chinese: 1. n. 葱
ꊈ ꌐ | Chinese: 1. n. 亲家（指双方）
ꊈ ꌱ | Chinese: 1. n. 姻亲
ꊈ ꌱ ꃅ | Chinese: 1. v. 定婚
ꊉ | Chinese: 1. v. (1) 肿 (2) 数
ꊉ ꏲ | Chinese: 1. n. 大熊猫
ꊊ | Chinese: 1. aux. 得到
ꊋ | Chinese: 1. n. 力量 | 2. aux. 难 | 3. v. 胜利；赢
ꊋ ꀥ ꇱ | Chinese: 1. v. 加强
ꊋ ꁈ ꄏ | Chinese: 1. v. 支持
ꊋ ꁌ | Chinese: 1. n. 工钱；工资
ꊋ ꁥ ꑌ | Chinese: 1. adj. 余力
ꊋ ꁧ | Chinese: 1. adj. 力弱；势弱
ꊋ ꂫ | Chinese: 1. n. （有）耐力
ꊋ ꃅ | Chinese: 1. v. 帮工；打短工；打工
ꊋ ꃤ | Chinese: 1. n. (1) 力量 (2) 势力
ꊋ ꃷ ꇱ | Chinese: 1. v. 强行（以力压服人）
ꊋ ꃹ | Chinese: 1. v. 费力；费工
ꊋ ꇤ | Chinese: 1. v. 努力；卖力；尽力
ꊋ ꊐ | Chinese: 1. v. 鼓励
ꊋ ꊡ | Chinese: 1. v. 打气（指给人加油）；鼓励
ꊋ ꋊ | Chinese: 1. v. (1) 出力 (2) 显示力量
ꊋ ꋠ | Chinese: 1. adj. 吃力；费劲；困难
ꊋ ꋪ | Chinese: 1. v. 换工
ꊋ ꌗ | Chinese: 1. n. 势力；力量
ꊋ ꌬ ꑘ ꃅ | Chinese: 1. n. 体力劳动
ꊋ ꌭ | Chinese: 1. adj. 得力；有力
ꊋ ꏃ | Chinese: 1. adv. 使劲
ꊋ ꏗ | Chinese: 1. v. 仗势
ꊋ ꐚ | Chinese: 1. adv. 真的；真正；确实
ꊋ ꐛ | Chinese: 1. adj. 胜利
ꊋ ꑌ | Chinese: 1. v. 有力气
ꊋ ꒉ | Chinese: 1. adj. (1) 大多数 (2) 力强；势力大 | 2. cer. 或许（可能性大）
ꊋ ꒉ ꁣ ꂨ | Chinese: 1. adj. 称王称霸；仗势欺人
ꊋ ꒉ ꊋ ꁧ ꆍ | Chinese: 1. adj. （以）强欺弱；（以）强凌弱
ꊌ | Chinese: 1. aux. 得到
ꊌ ꂿ | Chinese: 1. v. 看见；见着
ꊌ ꈨ | Chinese: 1. v. 听见；听到
ꊌ ꐨ | Chinese: 1. n. 成就；成绩；收获
ꊎ ꆓ | Chinese: 1. adj. 柔软（多指羊毛）
ꊎ ꆹ | Chinese: 1. adv. 不理睬（地）；不问不闻
ꊎ ꇨ | Chinese: 1. adj. 硬（多指羊毛）
ꊎ ꊏ | Chinese: 1. n. 芒（指农作物）
ꊎ ꌾ | Chinese: 1. adj. 暴躁
ꊏ | Chinese: 1. v. (1) 欺哄；欺骗 (2) 剩下；留；剩（使动） (3) 用餐毕；歇；歇气 (4) 尿 (5) 收拢 | 2. cl. 把（火把等）
ꊎ | Chinese: 1. cl. 把（火把等）
ꊏ ꅰ | Chinese: 1. v. 诱惑
ꊐ | Chinese: 1. v. (1) 装；进入 (2) 装 (3) 镶 (4) 遗弃；抛弃 | 2. cl. 级；层（楼）
ꊐ ꅍ | Chinese: 1. n. 盛器
ꊐ ꅍ ꊐ ꀏ | Chinese: 1. n. 盛器
ꊒ | Chinese: 1. adv. 正；对正；对着 | 2. adj. 正确 | 3. v. (1) 赔偿 (2) 过（火把节）
ꊒ ꃴ ꊒ ꈌ | Chinese: 1. n. 过火把节前后
ꊒ ꆽ ꀕ | Chinese: 1. adj. 正确；公道
ꊔ | Chinese: 1. v. (1) 拴（指用绳子缚住牲畜的足或双足） (2) 刨（指羊、马用脚刨土等）
ꊔ ꊖ ꋦ | Chinese: 1. adj. 气势汹汹；恶狠狠
ꊕ ꏪ ꅍ | Chinese: 1. n. 拍墙板
ꊖ | Chinese: 1. n. 土（不单用） | 2. adv. （轻）放；小心
ꊖ ꁋ | Chinese: 1. n. 土墙
ꊖ ꃴ | Chinese: 1. n. 地皮下；地壳下
ꊖ ꃴ ꅐ ꇐ | Chinese: 1. n. 矿藏
ꊖ ꃼ | Chinese: 1. n. 墙角
ꊖ ꄁ ꅍ | Chinese: 1. n. 木夯（冲墙工具）
ꊖ ꉘ | Chinese: 1. n. 地气（指雨过天晴后，地面的水蒸气）
ꊖ ꋠ ꁯ ꄸ | Chinese: 1. n. 蚯蚓
ꊖ ꌋ | Chinese: 1. n. 煤炭
ꊖ ꎐ | Chinese: 1. n. 墙角
ꊖ ꏦ | Chinese: 1. n. 墙板
ꊖ ꐔ | Chinese: 1. n. 泥土（泛指挖出来的）；墙土
ꊖ ꐬ | Chinese: 1. n. 墙孔
ꊗ ꁵ | Chinese: 1. n. 土疙瘩；土块
ꊙ | Chinese: 1. v. (1) 聘请（人）；物色；寻觅 (2) 物色
ꊙ ꏣ | Chinese: 1. n. （生意或办事的）门路；途径
ꊛ | Chinese: 1. v. (1) 接（续）；连 (2) 继续
ꊛ ꅇ | Chinese: 1. n. 连词
ꊛ ꏻ | Chinese: 1. v. 脱节
ꊜ ꋽ | Chinese: 1. adj. 碰上机会；恰当；合适；凑巧；好；刚好
ꊝ | Chinese: 1. adj. 缝隙密合；严密 | 2. v. 遇；碰；交手；对歌 | 3. n. 镊子
ꊝ ꀕ | Chinese: 1. adv. 正好；恰好（多指数量）
ꊝ ꈭ | Chinese: 1. adj. 动作灵巧 | 2. adv. 一下子
ꊞ | Chinese: 1. v. (1) 抖动 (2) 颠动（多指把背上的东西往上颠动） | 2. n. 绒
ꊞ ꇸ | Chinese: 1. v. 颠簸
ꊡ | Chinese: 1. v. (1) 扎紧（桶箍等）；勒紧 (2) 强调；提醒
ꊡ ꀱ | Chinese: 1. adv. 反复强调；重申
ꊢ | Chinese: 1. v. (1) 唆使 (2) 挑拨离间 (3) 逗引 (4) 专注；专心
ꊢ ꀖ | Chinese: 1. v. 唆使；挑拨离间
ꊢ ꂖ | Chinese: 1. v. 挑拨离间
ꊢ ꅇ | Chinese: 1. n. 离间的话；谗言
ꊢ ꇱ | Chinese: 1. v. 挑拨离间
ꊢ ꌺ | Chinese: 1. n. 挑拨者
ꊤ | Chinese: 1. v. (1) 竖立（把割下的荞子竖起来） (2) 承租
ꊥ | Chinese: 1. v. 罩
ꊥ ꀬ | Chinese: 1. n. 头号；突出（指牛羊中最肥最好的）
ꊥ ꂠ | Chinese: 1. v. 组织；发动
ꊥ ꃀ | Chinese: 1. n. 首脑；主谋
ꊥ ꇬ | Chinese: 1. v. 组织
ꊥ ꌋ | Chinese: 1. n. 领导者
ꊥ ꐞ | Chinese: 1. v. 出师
ꊧ ꀨ | Chinese: 1. n. 源头
ꊧ ꈜ ꎭ | Chinese: 1. v. 借口；挑斗
ꊨ | Chinese: 1. v. (1) 挖（地） (2) 分匀 (3) 挤；腾 (4) 减；留下 (5) （从关节上）割 (6) 做 (7) 拼（对缝） (8) 骂；吵架 | 2. adj. 关键 | 3. n. 节；关节 | 4. cl. 捆；把
ꊨ ꀖ | Chinese: 1. v. 骂；吵架
ꊨ ꁖ | Chinese: 1. v. 枝叶再生
ꊨ ꃀ | Chinese: 1. n. 锄头
ꊨ ꃀ ꂱ ꏢ | Chinese: 1. n. 尖挖锄
ꊨ ꄅ | Chinese: 1. v. 明确；分清；清楚
ꊨ ꅍ ꎸ ꉘ | Chinese: 1. n. 农具
ꊨ ꅥ | Chinese: 1. v. 脚关节骨扭伤
ꊨ ꆜ | Chinese: 1. v. 脱臼
ꊨ ꎪ | Chinese: 1. v. 骨节错位
ꊨ ꏈ | Chinese: 1. v. 责备
ꊨ ꏍ | Chinese: 1. v. 骨节错位
ꊨ ꏦ | Chinese: 1. pron. 自己
ꊨ ꏦ ꏱ ꅉ ꍏ | Chinese: 1. n. 自治州
ꊨ ꐔ | Chinese: 1. v. 折断
ꊩ ꌺ | Chinese: 1. n. 使者；差使
ꊪ | Chinese: 1. v. (1) 栽；点播；插；载 (2) 差使；派 (3) 接；接受 (4) 骑（使动） (5) 至 (6) 对证
ꊪ ꅇ | Chinese: 1. n. 介词
ꊪ ꅪ | Chinese: 1. adj. 紫红（色）
ꊪ ꆓ | Chinese: 1. adj. 柔嫩；娇嫩
ꊪ ꇖ | Chinese: 1. n. 铃子铃铛
ꊪ ꊔ | Chinese: 1. v. 使唤
ꊪ ꏽ | Chinese: 1. v. 播种
ꊫ | Chinese: 1. v. (1) 咳嗽 (2) 靠近 (3) 密缝 (4) 掐（虱子） (5) 淬火
ꊫ ꁱ | Chinese: 1. v. 依靠
ꊫ ꂫ | Chinese: 1. n. 前途
ꊫ ꃀ | Chinese: 1. n. 靠山
ꊫ ꃰ | Chinese: 1. n. 蕺菜；鱼腥草
ꊫ ꃺ | Chinese: 1. n. 口水
ꊫ ꄲ | Chinese: 1. n. 证据
ꊫ ꇵ | Chinese: 1. n. 绸缎
ꊫ ꉻ | Chinese: 1. n. 沼泽（文学语）
ꊫ ꌉ | Chinese: 1. n. 百日咳
ꊫ ꌐ | Chinese: 1. n. (1) 证据 (2) 目标；目的地
ꊫ ꐷ ꏽ | Chinese: 1. v. 边咳边吐；又咳又吐
ꊭ | Chinese: 1. v. (1) 积累；储备；积蓄；储蓄；积攒 (2) 裂缝；开裂 (3) 浸泡（水） | 2. adj. （编织时）挤紧
ꊭ ꃈ ꄵ | Chinese: 1. adv. 突然（停止）
ꊭ ꄎ | Chinese: 1. v. 准备
ꊭ ꈜ | Chinese: 1. n. 裂缝，纹（多指陶器、玻璃等）
ꊮ | Chinese: 1. n. 小米
ꊮ ꀨ | Chinese: 1. n. 菜刀
ꊮ ꄂ | Chinese: 1. n. 木盘（盛食物器）
ꊮ ꊫ | Chinese: 1. n. 菜子；油菜
ꊮ ꌺ | Chinese: 1. n. 点
ꊮ ꒀ | Chinese: 1. n. 菜油
ꊯ ꊪ | Chinese: 1. num. 十一
ꊯ ꑐ ꅍ | Chinese: 1. adj. （长得）挺拔
ꊰ | Chinese: 1. num. 十 | 2. v. (1) 掉；落；降；下降 (2) 下（饭；酒） (3) 自己剩下 (4) 挤（奶） | 3. adj. 细
ꊱ | Chinese: 1. cl. 段（话；章节） | 2. v. (1) 戒 (2) 理齐；齐
ꊱ ꆺ ꀮ | Chinese: 1. adj. 整齐
ꊴ | Chinese: 1. n. (1) 蜻蜓 (2) 鹿 | 2. v. (1) 碰 (2) 掐
ꊴ ꆸ ꄂ | Chinese: 1. n. 长颈鹿
ꊴ ꐷ | Chinese: 1. n. 鹿（文学语）
ꊵ ꑵ | Chinese: 1. n. 东西
ꊷ ꁈ ꅍ | Chinese: 1. n. 扇子
ꊷ ꄮ ꐰ | Chinese: 1. n. 热季
ꊷ ꅐ | Chinese: 1. v. 热天过（了）
ꊷ ꆣ | Chinese: 1. adj. 暖和
ꊷ ꌾ | Chinese: 1. adv. 匆忙
ꊷ ꐂ ꑍ | Chinese: 1. n. 大后天
ꊸ | Chinese: 1. adj. (1) 忙；急；慌；着急 (2) 晴（天） | 2. v. 热
ꊸ ꁆ ꂰ | Chinese: 1. n. 后天晚上
ꊸ ꁆ ꑍ | Chinese: 1. n. 后天
ꊸ ꆨ ꑍ | Chinese: 1. n. 大后天
ꊼ ꇅ | Chinese: 1. adv. 一点；一下；稍微（付）
ꊽ | Chinese: 1. n. （令）人；别人
ꊽ ꀕ | Chinese: 1. pron. 他们自己
ꊾ ꃶ | Chinese: 1. n. 疯子
ꊾ ꄂ | Chinese: 1. n. 独身者
ꊾ ꇠ | Chinese: 1. adj. 畸形；古怪
ꊾ ꇬ | Chinese: 1. n. 犯人；俘虏
ꊾ ꇰ | Chinese: 1. n. 傻子
ꊾ ꍸ | Chinese: 1. n. 孤儿
ꊾ ꎼ ꊾ ꃏ | Chinese: 1. n. 流氓
ꊾ ꏦ | Chinese: 1. n. 身材
ꊾ ꐚ | Chinese: 1. n. (1) 庸人（文学语） (2) 草包（骂人的话）“
ꊾ ꑃ ꊾ ꊙ | Chinese: 1. v. 挑逗；陷害人
ꊾ ꒆ ꌺ | Chinese: 1. n. 出生地
ꊿ | Chinese: 1. n. 人
ꊿ ꀘ | Chinese: 1. v. 超度亡灵
ꊿ ꂷ | Chinese: 1. n. 人口
ꊿ ꂿ | Chinese: 1. n. （人）尸体
ꊿ ꆓ | Chinese: 1. n. 麻风病患者
ꊿ ꇕ | Chinese: 1. v. 纠缠人
ꊿ ꇬ | Chinese: 1. n. 人口（指家中）
ꊿ ꇳ | Chinese: 1. v. 传染（人）
ꊿ ꊇ | Chinese: 1. pron. 他们
ꊿ ꋅ | Chinese: 1. n. 民族
ꊿ ꋊ | Chinese: 1. n. 家谱
ꊿ ꋦ ꁋ | Chinese: 1. n. 人居住的地方
ꊿ ꌦ ꊾ ꌋ | Chinese: 1. n. 聪明过人者；圣人
ꊿ ꏑ | Chinese: 1. n. 痨病患者
