above | Yi: n. [ꄩ tot]
quiver | Yi: v. [ꁓ pyp], [ꄹ ꁓ ddip pyp]
quiz | Yi: n. [ꃣ ꈌ vix ke]
quote | Yi: v. [ꊂ ꁧ wa bbo]
rabbit | Yi: n. [ꀉ ꌺ ax sse], [ꐯ jjy]
race (contest) | Yi: n. [ꏢ ꁈ ji po]
race (ethnicity) | Yi: n. [ꊿ ꋅ co cux]
race | Yi: v. [ꏢ ji], [ꋑ ꁧ nyix bbo]
rack | Yi: n. [ꇫ gox]
racket | Yi: n. [ꄎ ꌬ dox ssi]
radiate | Yi: v. [ꀉ ꃅ ax mu]
radish | Yi: n. [ꃅ ꎃ mu rrop]
raft | Yi: n. [ꌩ ꁧ syr bbo]
rafter | Yi: n. [ꌩ ꄹ syr ddip]
rag | Yi: n. [ꀺ ꁨ pi bbop]
rage | Yi: n. [ꀝ bur]
raid | Yi: v. [ꈔ ggit]
rail | Yi: n. [ꌩ ꄹ syr ddip]
raiment | Yi: [see "clothing"]
rain | Yi: n. [ꂿ mo]
rain | Yi: v. [ꂿ mo]
rainbow | Yi: n. [ꀆ ꐑ ic qux]
rainy | Yi: adj. [ꂿ mo]
raise | Yi: v. [ꑌ nyi], [ꏣ jip], [ꐏ qup], [ꆷ lit]
rake | Yi: n. [ꆫ ꃀ hlut mop]
rake | Yi: v. [ꆫ hlut]
rally | Yi: v. [ꇯ ꍝ gux zhy]
ram | Yi: n. [ꑾ ꁧ yox bbo]
ram | Yi: v. [ꂫ hmyp], [ꄖ dux]
ramble | Yi: v. [ꋑ ꁧ nyix bbo]
rancid | Yi: adj. [ꎭ sha]
range | Yi: n. [ꀊ ꂥ a hmu]
rank (row) | Yi: n. [ꄅ ꆹ die li]
rank (status) | Yi: n. [ꄹ ddip]
rank | Yi: v. [ꌗ sot]
ransom | Yi: n. [ꁦ ꃀ bbox mop]
ransom | Yi: v. [ꊫ zyp]
rap | Yi: v. [ꅥ ndup], [ꅑ ꅥ ndit ndup]
rapid | Yi: adj. [ꊸ ca], [ꇨ ꊸ guo ca]
rapidly | Yi: adv. [ꊸ ca]
rapids | Yi: n. [ꎿ ꁧ shur bbo]
rare | Yi: adj. [ꋑ ꀜ nyix bie], [ꀁ ꑌ ix nyi]
rarely | Yi: adv. [ꀁ ꑌ ix nyi]
rascal | Yi: n. [ꌊ ꁈ six po]
rash (hasty) | Yi: adj. [ꇨ ꊸ guo ca]
rash (skin) | Yi: n. [ꀙ ꁇ bip pox]
rasp | Yi: v. [ꌆ nzyp]
rat | Yi: n. [ꀉ ꅐ ax ddur], [ꅐ ddur]
rate | Yi: n. [ꁦ ꃀ bbox mop]
rather | Yi: adv. [ꀋ ꉬ ap nge], [ꂿ ꈬ mo ggu]
rattan | Yi: n. [ꈁ ꌩ ka syr]
rattle | Yi: v. [ꇷ ꁱ gur bbur]
raven | Yi: n. [ꀉ ꀋ ax ap]
ravine | Yi: n. [ꃅ ꐬ mu jjur]
raw | Yi: adj. [ꎸ she], [ꈚ ggat]
ray | Yi: n. [ꑗ ꇿ nyo kat]
razor | Yi: n. [ꀉ ꄌ ax duo]
reach | Yi: v. [ꄣ ta], [ꁨ bbop]
read | Yi: v. [ꀞ bat], [ꌐ sat]
ready | Yi: adj. [ꀞ bat], [ꈤ ggo]
real | Yi: adj. [ꌬ ssi], [ꃶ ꌬ vu ssi]
realize | Yi: v. [ꅉ ꐚ dde jji], [ꌧ syp]
really | Yi: adv. [ꃶ ꌬ vu ssi], [ꌬ ꂄ ssi nbop]
reap | Yi: v. [ꆫ hlut], [ꑄ njyt]
rear (back) | Yi: n. [ꊂ wa], [ꊂ ꄅ wa die]
rear (raise) | Yi: v. [ꑌ nyi], [ꏣ jip]
reason (cause) | Yi: n. [ꄉ da], [ꄉ ꃅ da mu]
reason (logic) | Yi: n. [ꆹ ꇐ li lu]
reason | Yi: v. [ꄤ tap], [ꉂ mgu]
reasonable | Yi: adj. [ꄮ te], [ꆈ nuo]
rebel | Yi: n. [ꆐ nep]
rebel | Yi: v. [ꀐ ꆹ ox li]
rebound | Yi: v. [ꉭ ngep]
rebuke | Yi: v. [ꁉ pop], [ꑻ yuo]
recall | Yi: v. [ꅉ ꑍ dde nyip], [ꄝ tip]
recede | Yi: v. [ꊁ ꊰ wax ci]
receive | Yi: v. [ꊌ wep], [ꁦ ꎆ bbox rre]
recent | Yi: adj. [ꀋ ꃉ ap myt], [ꀋ ꉊ ap hxiet]
recently | Yi: adv. [ꀋ ꃉ ap myt], [ꀋ ꉊ ap hxiet]
recite | Yi: v. [ꊂ ꁧ wa bbo], [ꌐ sat]
reckless | Yi: adj. [ꀋ ꆹ ap li]
reckon | Yi: v. [ꌗ sot], [ꄤ tap]
recline | Yi: v. [ꄚ tit], [ꀋ ꄚ ap tit]
recognize | Yi: v. [ꅉ ꐚ dde jji], [ꌧ syp]
recoil | Yi: v. [ꊁ ꊰ wax ci]
recollect | Yi: v. [ꅉ ꑍ dde nyip]
recommend | Yi: v. [ꄜ ti]
recompense | Yi: v. [ꊫ zyp]
reconcile | Yi: v. [ꌥ syx]
record | Yi: n. [ꌐ ꂷ sat ma]
record | Yi: v. [ꌐ sat], [ꁱ ꂷ bbur ma]
recount | Yi: v. [ꊂ ꁧ wa bbo]
recover | Yi: v. [ꉾ he], [ꀕ ꈬ w ggu]
rectify | Yi: v. [ꄀ dit]
recuperate | Yi: [see "recover"]
recur | Yi: v. [ꃶ ꒉ vu yy]
red | Yi: adj. [ꃁ mox], [ꃁ ꀠ mox ba]
redeem | Yi: v. [ꊫ zyp]
reduce | Yi: v. [ꁫ bbut], [ꌖ sop]
reed | Yi: n. [ꋒ ꌩ zzi syr]
reek | Yi: v. [ꃅ ꅿ mu ni]
reel | Yi: v. [ꄩ tox], [ꑊ ꉭ nyit ngep]
refer | Yi: v. [ꄜ ti]
refine | Yi: v. [ꐝ ꌬ jjiex ssi]
reflect | Yi: v. [ꄤ tap], [ꆈ nuo]
reform | Yi: v. [ꄀ dit]
refrain | Yi: v. [ꌖ sop], [ꁁ ꀕ pa w]
refresh | Yi: v. [ꀕ ꈬ w ggu]
refuge | Yi: n. [ꅑ ꀋ ndit ap]
refund | Yi: v. [ꊫ zyp]
refuse (reject) | Yi: v. [ꀐ ꆹ ox li], [ꀋ ꄻ ap ddie]
refuse (waste) | Yi: n. [ꃙ fux]
refute | Yi: v. [ꀐ ꆹ ox li]
regain | Yi: v. [ꊫ zyp]
regard | Yi: v. [ꆈ nuo], [ꄤ tap]
regarding | Yi: gr. [ꄉ da]
region | Yi: n. [ꄹ ddip], [ꈚ ggat]
register | Yi: v. [ꁱ ꂷ bbur ma]
regret | Yi: v. [ꁉ ꑣ pop xie]
regular | Yi: adj. [ꎃ ꐚ rrop jji], [ꐯ ꌟ jjy sux]
regularly | Yi: adv. [ꅉ ꀕ dde w]
regulate | Yi: v. [ꇯ ꍝ gux zhy]
rehearse | Yi: v. [ꀞ bat]
reign | Yi: v. [ꂿ ꌋ mo si]
reimburse | Yi: v. [ꊫ zyp]
rein | Yi: n. [ꂭ hmop]
reinforce | Yi: v. [ꐏ qup]
reiterate | Yi: v. [ꃶ ꒉ vu yy]
reject | Yi: v. [ꀐ ꆹ ox li], [ꀋ ꄻ ap ddie]
rejoice | Yi: v. [ꇿ kat], [ꌒ sa]
relate | Yi: v. [ꊂ ꁧ wa bbo], [ꌌ ꁈ sip po]
related | Yi: adj. [ꋑ ꈌ zzix ke]
relation | Yi: n. [ꁱ ꁧ bbur bbo]
relative | Yi: n. [ꁱ ꁧ bbur bbo]
relax | Yi: v. [ꀕ ꈬ w ggu], [ꄮ te]
release | Yi: v. [ꄳ tup], [ꏀ shyt], [ꁌ pu]
reliable | Yi: adj. [ꄷ ꋌ ddix cy]
relieve | Yi: v. [ꌥ syx], [ꀕ ꈬ w ggu]
religion | Yi: n. [ꂡ ꌙ hmo so]
relinquish | Yi: v. [ꏀ shyt], [ꌖ sop]
relish | Yi: v. [ꂿ ꈬ mo ggu]
reluctant | Yi: adj. [ꀋ ꄻ ap ddie]
rely | Yi: v. [ꁨ bbop], [ꄷ ꋌ ddix cy]
remain | Yi: v. [ꄗ dup], [ꀜ bie]
remainder | Yi: n. [ꊂ wa], [ꌌ ꁈ sip po]
remark | Yi: v. [ꊂ ꁧ wa bbo]
remarkable | Yi: adj. [ꋑ ꀜ nyix bie]
remedy | Yi: n. [ꀽ pie]
remedy | Yi: v. [ꀽ pie]
remember | Yi: v. [ꅉ ꑍ dde nyip]
remind | Yi: v. [ꅉ ꑍ dde nyip]
reminisce | Yi: v. [ꅉ ꑍ dde nyip]
remnant | Yi: n. [ꊂ wa], [ꌌ ꁈ sip po]
remote | Yi: adj. [ꇤ ꃅ ga mu], [ꈜ ꒉ gga yy]
remove | Yi: v. [ꇮ get], [ꊏ zi], [ꌖ sop]
rend | Yi: v. [ꁁ pa], [ꃪ vat]
render | Yi: v. [ꁳ bbyx], [ꁵ bbyp]
renew | Yi: v. [ꆏ ꎸ ne she]
renounce | Yi: v. [ꌖ sop]
renovate | Yi: v. [ꄀ dit]
renowned | Yi: adj. [ꂷ ꒉ ma yy]
rent (payment) | Yi: n. [ꁦ ꃀ bbox mop]
rent (tear) | Yi: n. [ꄴ ꈌ turx ke]
rent | Yi: v. [ꀱ bur]
repair | Yi: v. [ꄀ dit], [ꅋ ddut]
repay | Yi: v. [ꊫ zyp]
repeat | Yi: v. [ꃶ ꒉ vu yy]
repeatedly | Yi: adv. [ꅉ ꀕ dde w]
repel | Yi: v. [ꄯ tep], [ꁁ ꀕ pa w]
repent | Yi: v. [ꁉ ꑣ pop xie]
replace | Yi: v. [ꄀ dit]
replenish | Yi: v. [ꁳ bbyx]
reply | Yi: v. [ꊫ zyp], [ꊫ ꊂ zyp wa]
report | Yi: v. [ꀠ ba], [ꊂ ꁧ wa bbo]
repose | Yi: v. [ꃆ ꈨ mup gge]
represent | Yi: v. [ꃚ fu]
repress | Yi: v. [ꇠ gie], [ꈼ mgop]
reprimand | Yi: v. [ꁉ pop]
reproach | Yi: v. [ꁉ pop], [ꑻ yuo]
reproduce | Yi: v. [ꃶ ꒉ vu yy]
reprove | Yi: v. [ꁉ pop]
reptile | Yi: n. [ꀮ ꆪ bu hlep]
repulse | Yi: v. [ꄯ tep]
reputation | Yi: n. [ꂷ ma]
request | Yi: v. [ꑗ ꇖ nyo ly], [ꃣ vix]
require | Yi: v. [ꊂ ꌦ wa sy], [ꄻ ddie]
rescue | Yi: v. [ꐏ qup], [ꈯ ggur]
research | Yi: v. [ꉃ mgup]
resemble | Yi: v. [ꑳ yi], [ꁨ bbop]
resent | Yi: v. [ꁉ ꑣ pop xie]
reserve | Yi: v. [ꈯ ggur], [ꊏ zi]
reservoir | Yi: n. [ꎾ shurx], [ꎿ shur]
reside | Yi: v. [ꀜ bie], [ꄗ dup]
residence | Yi: n. [ꀕ ꑳ w yi]
residue | Yi: n. [ꊂ wa]
resign | Yi: v. [ꌖ sop], [ꁧ bbo]
resin | Yi: n. [ꌩ ꒉ syr yy]
resist | Yi: v. [ꀐ ꆹ ox li], [ꆼ ꆹ liex li]
resolve | Yi: v. [ꄷ ꃄ ddix mux]
resound | Yi: v. [ꈢ ggot]
respect | Yi: v. [ꆈ nuo], [ꑼ yix]
respectful | Yi: adj. [ꆈ nuo]
respire | Yi: v. [ꑋ nyix]
respond | Yi: v. [ꊫ zyp], [ꊫ ꊂ zyp wa]
rest (remainder) | Yi: n. [ꊂ wa], [ꌌ ꁈ sip po]
rest (relaxation) | Yi: v. [ꃆ ꈨ mup gge], [ꄗ dup]
restless | Yi: adj. [ꀋ ꃆ ap mup]
restore | Yi: v. [ꊫ zyp], [ꄀ dit]
restrain | Yi: v. [ꏢ ji], [ꁁ ꀕ pa w], [ꈯ ggur]
restrict | Yi: v. [ꏢ ji], [ꁁ ꀕ pa w]
result | Yi: n. [ꈭ ꁧ ggup bbo]
result | Yi: v. [ꐛ jjip]
resume | Yi: v. [ꃶ ꒉ vu yy]
retain | Yi: v. [ꈯ ggur], [ꊏ zi]
retaliate | Yi: v. [ꊫ zyp]
retch | Yi: v. [ꐯ jjy]
retire | Yi: v. [ꊁ ꊰ wax ci], [ꁧ bbo]
retort | Yi: v. [ꊫ ꊂ zyp wa]
retract | Yi: v. [ꊁ ꊰ wax ci]
retreat | Yi: v. [ꊁ ꊰ wax ci]
retrieve | Yi: v. [ꊫ zyp]
return | Yi: v. [ꊫ zyp], [ꃶ ꒉ vu yy]
reunite | Yi: v. [ꇯ ꍝ gux zhy]
reveal | Yi: v. [ꄇ ꇁ dat la], [ꄀ dit]
revenge | Yi: n. [ꊫ zyp]
revenge | Yi: v. [ꊫ zyp]
revere | Yi: v. [ꆈ nuo], [ꑼ yix]
reverse | Yi: v. [ꉭ ngep], [ꑊ ꉭ nyit ngep]
revert | Yi: v. [ꃶ ꒉ vu yy]
review | Yi: v. [ꆈ nuo]
revile | Yi: v. [ꑻ yuo]
revise | Yi: v. [ꄀ dit]
revive | Yi: v. [ꃃ ꄜ mut ti]
revolt | Yi: v. [ꀐ ꆹ ox li]
revolve | Yi: v. [ꄩ tox]
reward | Yi: n. [ꈁ ꁠ ka bba]
reward | Yi: v. [ꁳ bbyx]
rhinoceros | Yi: n. [ꀮ ꂷ bu mix]
rib | Yi: n. [ꀸ ꇷ pit gur]
ribbon | Yi: n. [ꀺ ꁨ pi bbop]
rice (cooked) | Yi: n. [ꋚ zza]
rice (uncooked) | Yi: n. [ꀮ bu]
rice field | Yi: n. [ꋚ ꀧ zza bo]
rice plant | Yi: n. [ꀮ ꁬ bu bbut]
rich | Yi: adj. [ꁦ ꒉ bbox yy], [ꊋ ꒉ we yy]
riches | Yi: n. [ꀨ ꊰ bop ci]
rid | Yi: v. [ꇮ get], [ꌖ sop]
riddle | Yi: n. [ꅇ ꈌ ddop ke]
ride | Yi: v. [ꋑ nyix]
rider | Yi: n. [ꋑ ꌺ nyix sse]
ridge | Yi: n. [ꀊ ꂥ a hmu]
ridicule | Yi: v. [ꋖ zzy]
ridiculous | Yi: adj. [ꋖ zzy]
rifle | Yi: n. [ꅳ ꍩ hnap chot]
rift | Yi: n. [ꄴ ꈌ turx ke]
right (correct) | Yi: adj. [ꌬ ssi], [ꄮ te]
right (direction) | Yi: n. [ꁱ ꇤ bbur ga]
right (entitlement) | Yi: n. [ꊋ ꃤ we vi]
right away | Yi: adv. [ꉆ ꐥ hxit jjo]
right now | Yi: adv. [ꀃ ꌋ ip si]
rigid | Yi: adj. [ꇧ ꇩ guox guop]
rill | Yi: n. [ꎿ ꁧ shur bbo]
rim | Yi: n. [ꀱ bur], [ꁱ bbur]
rind | Yi: n. [ꁌ ꀖ pu bit]
ring (circle) | Yi: n. [ꄩ tox]
ring (jewelry) | Yi: n. [ꁯ ꁱ ꇬ bbup bbur go]
ring | Yi: v. [ꈢ ggot], [ꇷ ꁱ gur bbur]
rinse | Yi: v. [ꐝ jjiex]
rip | Yi: v. [ꁁ pa], [ꃪ vat]
ripe | Yi: adj. [ꀕ ꈬ w ggu], [ꈬ ggu]
ripen | Yi: v. [ꈬ ggu]
ripple | Yi: n. [ꃻ ꁧ vyx bbo]
rise | Yi: v. [ꃃ ꄜ mut ti], [ꄜ ti]
risk | Yi: n. [ꏭ ꁮ jox bbu]
risk | Yi: v. [ꏭ ꁮ jox bbu]
ritual | Yi: n. [ꆹ ꇐ li lu]
rival | Yi: n. [ꆐ nep]
rival | Yi: v. [ꏢ ji]
river | Yi: n. [ꎿ shur], [ꎿ ꀉ shur ax]
riverbank | Yi: n. [ꎿ ꁱ shur bbur]
rivulet | Yi: n. [ꎿ ꁧ shur bbo]
road | Yi: n. [ꇤ ga], [ꉺ ꇤ hox ga]
roam | Yi: v. [ꋑ ꁧ nyix bbo]
roar | Yi: v. [ꈢ ggot], [ꑻ yuo]
roast | Yi: v. [ꄔ dut], [ꅢ ndut]
rob | Yi: v. [ꈔ ggit]
robber | Yi: n. [ꈔ ꁈ ggit po]
robe | Yi: n. [ꀺ ꁨ pi bbop]
robust | Yi: adj. [ꐕ qyp], [ꈜ ꒉ gga yy]
rock | Yi: n. [ꇓ lur], [ꇓ ꁧ lur bbo]
rock | Yi: v. [ꄩ tox]
rod | Yi: n. [ꆸ lix], [ꁧ ꌩ bbo syr]
rogue | Yi: n. [ꌊ ꁈ six po]
roll | Yi: v. [ꄩ tox], [ꈩ ggep]
roll up | Yi: v. [ꈩ ggep]
roof | Yi: n. [ꀕ ꑳ w yi]
room | Yi: n. [ꁇ pox], [ꀕ ꁇ w pox]
roost | Yi: v. [ꀜ bie]
rooster | Yi: n. [ꅐ ꁧ ddur bbo]
root | Yi: n. [ꁱ bbur], [ꁮ ꆗ bbu hlit]
root | Yi: v. [ꃹ vur]
rope | Yi: n. [ꂭ hmop]
rose | Yi: n. [ꀮ bu]
rosy | Yi: adj. [ꃁ ꀠ mox ba]
rot | Yi: v. [ꃙ fux], [ꁭ bbux]
rotate | Yi: v. [ꄩ tox]
rotten | Yi: adj. [ꃙ fux], [ꁭ bbux]
rough | Yi: adj. [ꀨ bop], [ꎭ sha]
round | Yi: adj. [ꄩ tox], [ꀀ ꄩ it tox]
round | Yi: gr. [ꄩ tox]
rouse | Yi: v. [ꃃ ꄜ mut ti]
rout | Yi: v. [ꑞ xix]
route | Yi: n. [ꇤ ga]
rove | Yi: v. [ꋑ ꁧ nyix bbo]
row (line) | Yi: n. [ꄅ ꆹ die li]
row (quarrel) | Yi: n. [ꁉ pop]
row (boat) | Yi: v. [ꈤ ggo]
rub | Yi: v. [ꀨ bop], [ꌆ nzyp]
rubbish | Yi: n. [ꃙ fux]
rudder | Yi: n. [ꈤ ꎸ ggo she]
rude | Yi: adj. [ꌊ ꀜ six bie]
rue | Yi: v. [ꁉ ꑣ pop xie]
ruffian | Yi: n. [ꌊ ꁈ six po]
rug | Yi: n. [ꂶ ꏪ max juo]
ruin | Yi: v. [ꇤ ga], [ꃙ fux]
rule (regulation) | Yi: n. [ꆹ ꇐ li lu]
rule (govern) | Yi: v. [ꂿ ꌋ mo si]
ruler (leader) | Yi: n. [ꌋ si]
rumble | Yi: v. [ꈢ ggot]
ruminate | Yi: v. [ꄤ tap]
rummage | Yi: v. [ꉃ mgup]
rumor | Yi: n. [ꊂ ꁧ wa bbo]
rump | Yi: n. [ꃅ ꐞ mu jjie]
run | Yi: v. [ꋑ nyix]
run away | Yi: v. [ꁧ bbo], [ꎹ shep]
runner | Yi: n. [ꋑ ꌺ nyix sse]
rupture | Yi: v. [ꁁ pa]
rural | Yi: adj. [ꃄ ꅉ mux dde]
rush | Yi: v. [ꋑ nyix], [ꇨ ꊸ guo ca]
rushes | Yi: n. [ꋒ ꌩ zzi syr]
rust | Yi: n. [ꇓ ꃙ lur fux]
rust | Yi: v. [ꃙ fux]
rustle | Yi: v. [ꈢ ggot]
rusty | Yi: adj. [ꃙ fux]
rut | Yi: n. [ꄴ ꈌ turx ke]
sack | Yi: n. [ꁇ pox]
sack | Yi: v. [ꈔ ggit]
sacred | Yi: adj. [ꆈ nuo]
sacrifice | Yi: n. [ꆐ ꏪ nep juo]
sacrifice | Yi: v. [ꆐ nep]
sad | Yi: adj. [ꎭ ꑣ sha xie], [ꁉ ꑣ pop xie]
saddle | Yi: n. [ꂷ ꀧ ma bo]
saddle | Yi: v. [ꇁ la]
sadness | Yi: n. [ꎭ ꑣ sha xie]
safe | Yi: adj. [ꀨ ꀕ bop w], [ꄮ te]
safeguard | Yi: v. [ꈯ ggur], [ꐏ qup]
sag | Yi: v. [ꊈ wo], [ꋊ cyt]
sage (wise person) | Yi: n. [ꅉ ꐚ dde jji]
sail | Yi: n. [ꃻ vyx]
sail | Yi: v. [ꈤ ggo]
sailor | Yi: n. [ꈤ ꁈ ggo po]
salary | Yi: n. [ꁦ ꃀ bbox mop]
sale | Yi: n. [ꆹ li]
saliva | Yi: n. [ꑍ nyip]
salivate | Yi: v. [ꁌ pu]
salt | Yi: n. [ꎭ sha]
salt | Yi: v. [ꎭ sha]
salty | Yi: adj. [ꎭ sha]
salute | Yi: v. [ꑬ ꑻ xy yuo]
salvage | Yi: v. [ꐏ qup]
same | Yi: adj. [ꀃ ꑳ ip yi], [ꑳ yi]
sample | Yi: n. [ꆈ ꁱ nuo bbur]
sand | Yi: n. [ꎃ rrop]
sandal | Yi: n. [ꑭ ꁨ xy bbop]
sang | Yi: [past tense of "sing"]
sank | Yi: [past tense of "sink"]
sap | Yi: n. [ꌩ ꒉ syr yy]
sapling | Yi: n. [ꌩ ꌺ syr sse]
sat | Yi: [past tense of "sit"]
satchel | Yi: n. [ꁇ pox]
satiate | Yi: v. [ꑌ nyi]
satisfied | Yi: adj. [ꇿ kat], [ꌒ sa]
satisfy | Yi: v. [ꂿ ꈬ mo ggu]
sauce | Yi: n. [ꋌ ꒉ cy yy]
saucer | Yi: n. [ꁮ ꇉ bbu lo]
saunter | Yi: v. [ꒉ yy]
savage | Yi: adj. [ꃃ mut]
save (rescue) | Yi: v. [ꐏ qup], [ꈯ ggur]
save (store) | Yi: v. [ꊏ zi], [ꈯ ggur]
save (except) | Yi: gr. [ꀋ ꄸ ap ddie]
savor | Yi: v. [ꂿ ꈬ mo ggu]
saw (tool) | Yi: n. [ꄌ ꃀ duo mop]
saw (past tense of see) | Yi: [past tense]
saw | Yi: v. [ꄌ duo]
sawdust | Yi: n. [ꌩ ꁈ syr po]
say | Yi: v. [ꊂ wa], [ꂘ hmat], [ꅇ ddop]
saying | Yi: n. [ꅺ ꃶ ꅉ hne vu dde]
scab | Yi: n. [ꁮ ꈔ bbu ggit]
scald | Yi: v. [ꄔ dut]
scale (fish) | Yi: n. [ꏾ qi]
scale (measure) | Yi: n. [ꀨ ꏪ bop juo]
scale | Yi: v. [ꄜ ti]
scales (weighing) | Yi: n. [ꀨ ꏪ bop juo]
scalp | Yi: n. [ꀍ ꁱ uo bbur]
scamper | Yi: v. [ꋑ nyix]
scan | Yi: v. [ꆈ nuo]
scant | Yi: adj. [ꀁ ꑌ ix nyi]
scanty | Yi: [see "scant"]
scar | Yi: n. [ꅋ ddut]
scarce | Yi: adj. [ꀁ ꑌ ix nyi]
scarcely | Yi: adv. [ꀁ ꑌ ix nyi]
scare | Yi: v. [ꊢ zut]
scared | Yi: adj. [ꇷ gur]
scarlet | Yi: adj. [ꃁ ꀠ mox ba]
scatter | Yi: v. [ꄖ dux], [ꀱ bur]
scene | Yi: n. [ꄹ ddip], [ꈚ ggat]
scent | Yi: n. [ꃅ ꅿ mu ni]
scent | Yi: v. [ꃅ mu]
sceptic | Yi: [see "skeptic"]
scheme | Yi: n. [ꉪ ꐪ ngop jjup]
scheme | Yi: v. [ꉂ mgu]
scholar | Yi: n. [ꅉ ꐚ dde jji], [ꇮ ꌺ get sse]
school | Yi: n. [ꇮ ꑳ get yi]
scissors | Yi: n. [ꄌ ꃀ duo mop]
scoff | Yi: v. [ꋖ zzy]
scold | Yi: v. [ꁉ pop], [ꑻ yuo]
scoop | Yi: v. [ꐔ qy]
scorch | Yi: v. [ꄔ dut], [ꅢ ndut]
score | Yi: n. [ꌗ ꂷ sot ma]
scorn | Yi: v. [ꋖ zzy]
scorpion | Yi: n. [ꁯ ꄸ bbup ddi]
scoundrel | Yi: n. [ꌊ ꁈ six po]
scour | Yi: v. [ꐝ jjiex], [ꉃ mgup]
scourge | Yi: n. [ꆅ ꏪ na juo]
scout | Yi: v. [ꉃ mgup]
scowl | Yi: v. [ꀝ bur]
scramble | Yi: v. [ꄜ ti]
scrap | Yi: n. [ꊂ wa]
scrape | Yi: v. [ꌆ nzyp], [ꀨ bop]
scratch | Yi: v. [ꌆ nzyp], [ꀨ bop]
scream | Yi: v. [ꈢ ggot], [ꑻ yuo]
screech | Yi: v. [ꈢ ggot]
screen | Yi: n. [ꁁ pa]
screen | Yi: v. [ꄯ tep], [ꈯ ggur]
screw | Yi: n. [ꆐ ꎸ nep she]
screw | Yi: v. [ꄩ tox]
scribble | Yi: v. [ꁱ ꂷ bbur ma]
script | Yi: n. [ꁱ bbur]
scripture | Yi: n. [ꁱ bbur]
scroll | Yi: n. [ꁱ bbur]
scrub | Yi: v. [ꐝ jjiex], [ꀨ bop]
scrutinize | Yi: v. [ꆈ nuo], [ꆈ ꍮ nuo chex]
scum | Yi: n. [ꃙ fux]
scurry | Yi: v. [ꋑ nyix]
scythe | Yi: n. [ꆫ ꃀ hlut mop]
sea | Yi: n. [ꎿ ꀉ shur ax]
seal (close) | Yi: v. [ꂱ mip], [ꏢ ji]
seal (stamp) | Yi: n. [ꃙ ꌐ fux sat]
seam | Yi: n. [ꅋ ddut]
seaman | Yi: [see "sailor"]
sear | Yi: v. [ꄔ dut]
search | Yi: v. [ꉃ mgup], [ꏃ shyp]
seashore | Yi: n. [ꎿ ꁱ shur bbur]
seaside | Yi: [see "seashore"]
season | Yi: n. [ꈚ ggat], [ꉈ hxi]
season | Yi: v. [ꎭ sha]
seasoning | Yi: n. [ꋐ zzit]
seat | Yi: n. [ꄗ ꄹ dup ddip]
seat | Yi: v. [ꄗ dup]
second | Yi: v. [ꁳ bbyx]
secret | Yi: adj. [ꃶ ꃶ vu vu]
secret | Yi: n. [ꃶ ꃶ ꅇ vu vu ddop]
secrete | Yi: v. [ꄯ tep]
secretly | Yi: adv. [ꃶ ꃶ vu vu]
section | Yi: n. [ꁁ pa], [ꁁ ꆈ pa nuo]
secure | Yi: adj. [ꀨ ꀕ bop w]
secure | Yi: v. [ꂱ mip], [ꏢ ji]
sediment | Yi: n. [ꃙ fux]
see | Yi: v. [ꆈ nuo], [ꑓ nyuo]
seed | Yi: n. [ꈯ ggur], [ꈯ ꄜ ggur ti]
seed | Yi: v. [ꋦ zzur]
seedling | Yi: n. [ꁬ ꌺ bbut sse]
seeing | Yi: conj. [ꄉ da]
seek | Yi: v. [ꉃ mgup], [ꏃ shyp]
seem | Yi: v. [ꑳ yi]
seen | Yi: [past participle of "see"]
seep | Yi: v. [ꁌ pu]
seethe | Yi: v. [ꀝ bur]
segment | Yi: n. [ꁁ pa]
seize | Yi: v. [ꌃ nzyt], [ꐩ jju], [ꈔ ggit]
seldom | Yi: adv. [ꀁ ꑌ ix nyi]
select | Yi: v. [ꐀ qiet], [ꎴ sho]
self | Yi: pron. [ꀃ ꅉ ip dde]
sell | Yi: v. [ꆹ li]
send | Yi: v. [ꁵ bbyp], [ꆹ li]
senior | Yi: adj. [ꀋ ꃀ ap mop], [ꆿ ꄿ lat dda]
sense | Yi: n. [ꅉ ꐚ dde jji]
sense | Yi: v. [ꅉ ꐚ dde jji]
sensible | Yi: adj. [ꅉ ꐚ dde jji]
sent | Yi: [past tense of "send"]
sentence | Yi: n. [ꊂ wa], [ꅇ ddop]
sentence | Yi: v. [ꀙ bip]
sentinel | Yi: n. [ꂿ ꌋ mo si]
sentry | Yi: [see "sentinel"]
separate | Yi: v. [ꁁ pa], [ꋲ nzie]
separate | Yi: adj. [ꀋ ꑳ ap yi], [ꅑ ndit]
sequence | Yi: n. [ꄅ ꆹ die li]
serene | Yi: adj. [ꀨ ꀕ bop w]
series | Yi: n. [ꄅ ꆹ die li]
serious | Yi: adj. [ꈜ ꒉ gga yy], [ꀋ ꉬ ap nge]
sermon | Yi: n. [ꊂ ꁧ wa bbo]
serpent | Yi: n. [ꀮ ꆪ bu hlep]
servant | Yi: n. [ꌤ ꃅ ꁈ syt mu po]
serve | Yi: v. [ꑌ nyi], [ꌤ ꃅ syt mu]
service | Yi: n. [ꌤ ꃅ syt mu]
session | Yi: n. [ꉈ hxi], [ꇅ luo]
set (put) | Yi: v. [ꃛ fup], [ꉼ hop], [ꏀ shyt]
set (collection) | Yi: n. [ꁧ bbo], [ꈉ kop]
